,Week,ILI,Queries,logILI,logILI2,logILI3,Queries1,Queries2
0,2012-01-01 - 2012-01-07,1.766706886,0.593625498,0.5691172972912101,0.6166632312374165,0.5091969489949749,0.618857901,0.537848605
1,2012-01-08 - 2012-01-14,1.543400535,0.49933599,0.4339881216785998,0.7533622672341926,0.6166632312374165,0.593625498,0.618857901
2,2012-01-15 - 2012-01-21,1.647615381,0.50066401,0.4993290189331551,0.5691172972912101,0.7533622672341926,0.49933599,0.593625498
3,2012-01-22 - 2012-01-28,1.684297234,0.479415671,0.521348404995598,0.4339881216785998,0.5691172972912101,0.50066401,0.49933599
4,2012-01-29 - 2012-02-04,1.863541503,0.471447543,0.6224787112212326,0.4993290189331551,0.4339881216785998,0.479415671,0.50066401
5,2012-02-05 - 2012-02-11,1.864079254,0.5033200529999999,0.6227672335998679,0.521348404995598,0.4993290189331551,0.471447543,0.479415671
6,2012-02-12 - 2012-02-18,2.019927181,0.513944223,0.7030614617534312,0.6224787112212326,0.521348404995598,0.5033200529999999,0.471447543
7,2012-02-19 - 2012-02-25,2.103850998,0.50066401,0.7437694739266546,0.6227672335998679,0.6224787112212326,0.513944223,0.5033200529999999
8,2012-02-26 - 2012-03-03,2.095549336,0.460823373,0.7398157318901383,0.7030614617534312,0.6227672335998679,0.50066401,0.513944223
9,2012-03-04 - 2012-03-10,2.103983193,0.45816733,0.7438323067256875,0.7437694739266546,0.7030614617534312,0.460823373,0.50066401
10,2012-03-11 - 2012-03-17,2.293421558,0.432934926,0.8300448325953284,0.7398157318901383,0.7437694739266546,0.45816733,0.460823373
11,2012-03-18 - 2012-03-24,1.922234472,0.366533864,0.6534882968639713,0.7438323067256875,0.7398157318901383,0.432934926,0.45816733
12,2012-03-25 - 2012-03-31,1.7423860130000002,0.365205844,0.5552554457309139,0.8300448325953284,0.7438323067256875,0.366533864,0.432934926
13,2012-04-01 - 2012-04-07,1.6760137569999998,0.350597609,0.5164182102600939,0.6534882968639713,0.8300448325953284,0.365205844,0.366533864
14,2012-04-08 - 2012-04-14,1.496370618,0.365205844,0.40304258817478417,0.5552554457309139,0.6534882968639713,0.350597609,0.365205844
15,2012-04-15 - 2012-04-21,1.3811977569999998,0.33067729100000004,0.32295106258219325,0.5164182102600939,0.5552554457309139,0.365205844,0.350597609
